Upper East,Bawku Municipal,Nafkoliga CHPS,CHPS,Nafkoliga,Government,10.8893,-0.36387
Upper East,Bawku Municipal,Kukparigu CHPS,CHPS,Kukparigu,Government,10.914,-0.24989
Upper East,Bawku Municipal,Binduri Health Centre,Health Centre,Binduri,Government,10.95989,-0.31325
Upper East,Bawku Municipal,Kadara Maternity Home,Maternity Home,Bawku,Private,11.06304,-0.24403
Upper East,Bawku Municipal,Presbyterian Primary Health Care Secretariat,Others,Bawku,CHAG,11.06068,-0.23197
Upper East,Bawku Municipal,Bawku Presby Nurses Training College,Training Institution,Bawku,CHAG,11.05988,-0.23234
Upper East,Bawku Municipal,Mognori Clinic,Clinic,Mognori Gumbo,Government,11.11651,-0.27659
Upper East,Bawku Municipal,Zuabulga Clinic,Clinic,Zuabulga,Government,11.04919,-0.14153
Upper East,Bawku Municipal,Sarabogo CHPS,CHPS,Sarabogo,Government,11.05838,-0.16943
Upper East,Bawku Municipal,Akunye Memorial Clinic,Clinic,Pusiga Zongo,Private,11.08359,-0.13284
Upper East,Bawku Municipal,Kultamise Clinic,Clinic,Kultamise,Government,11.12845,-0.15447
Upper East,Bawku Municipal,Kulungungu Clinic,Clinic,Kulungungu,Government,11.14667,-0.20935
Upper East,Bawku Municipal,Pusiga Health Centre,Health Centre,Pusiga Natinga,Government,11.08115,-0.12473
Upper East,Bawku Municipal,Urban Health Centre,Health Centre,Bawku,Government,11.06113,-0.23858
Upper East,Bawku Municipal,Bawku Hospital,Municipal Hospital,Bawku,CHAG,11.06124,-0.23287
Upper East,Bawku Municipal,Manga CHPS,CHPS,Manga,Government,11.02384,-0.26314
Upper East,Bawku Municipal,Dan's Clinic,Clinic,Bawku,Private,11.0493,-0.251
Upper East,Bawku Municipal,Islam Maternity Clinic,Maternity Home,Bawku-Kariamah,Private,11.06291,-0.23989
Upper East,Bawku Municipal,Bawku Municipal Health Directroate,Municipal Health Directorate,Bawku,Government,11.05752,-0.25049
Upper East,Bawku Municipal,Bawku Nutrition Rehabilitation Centre,Others,Bawku,CHAG,11.06073,-0.23247
Upper East,Bawku Municipal,Quality Medical Centre,Others,Wiidi,Private,11.05487,-0.26105
Upper East,Bawku Municipal,Widana Health Centre,Health Centre,Widana,CHAG,11.08177,-0.0183
Upper East,Bawku Municipal,Widana Rehabilitation Centre,Health Centre,Widana,CHAG,11.08201,-0.01873
Upper East,Bawku Municipal,Bansi CHPS,CHPS,Bansi,Government,11.06103,-0.34752
Upper East,Bawku Municipal,Zawse CHPS,CHPS,Zawse,Government,11.05267,-0.29344
Upper East,Bawku Municipal,Bazua CHPS,CHPS,Bazua,Government,11.00312,-0.35115
